pair_id,group_id,target,current_available_utc,past_available_utc,similarity,stratum,split
007ae1712fecaf72,471272341ac63d630aedfe3d043631beb6bb2ad4e4cac34c99c73ca989495db3,AAPL,2018-06-18T12:30:34.013000+00:00,2018-06-18T11:35:01.002000+00:00,1.0,near_duplicate_candidate,locked_check
00a3d147091a560f,c3441f8b429e03c2b8ea3cfbe64b2823a8df84511b2243d4dd3e2183ebfb25b7,AAPL,2018-08-31T06:02:24.002000+00:00,2018-08-31T04:38:20.026000+00:00,1.0,near_duplicate_candidate,locked_check
024081ce1fea96c2,7e8cf3c6e7462f02b86b357f91c345f34d1f092b3bc98bfccae02b8287f124f1,AAPL,2018-06-05T09:18:56.003000+00:00,2018-06-05T09:15:25.006000+00:00,1.0,near_duplicate_candidate,pilot
02aecdd0350c0a2f,341ee572cc50ef0847f927c909afc737ef9cdff15ce0edd07687546af65fe345,AAPL,2018-04-21T10:26:00+00:00,2018-04-18T01:46:00+00:00,0.8571428571428571,near_duplicate_candidate,pilot
03c22a8037b9c242,b9a9f3af16db6f59f6382a4b71c73b672b3637a0cec2a28385b569b72a622b44,AAPL,2018-05-18T20:48:50+00:00,2018-05-17T22:31:45.003000+00:00,0.8,near_duplicate_candidate,locked_check
06a4a060a7de6872,97378b79ebe54d36b8849c833ea17519a1f7122f569c8b1c74cff40cfbe92580,AAPL,2018-06-05T12:42:00+00:00,2018-06-02T17:02:25.002000+00:00,0.8,near_duplicate_candidate,locked_check
07fb7119b17f9847,709132d7c554343c00ad11cf7f7971c258ece9ccf9cb53a53558b00343642367,AAPL,2018-04-27T23:50:00+00:00,2018-04-27T19:22:18.005000+00:00,1.0,near_duplicate_candidate,pilot
09358092cbdf578b,2ab87abc73260c659bd8514c90d84e466d45e61a2086fd8ec029f68556dba691,AAPL,2018-06-02T22:34:00+00:00,2018-06-02T22:19:26.037000+00:00,1.0,near_duplicate_candidate,pilot
14c37e34f9285856,2df2ced6c00f6e83ffc38b627f4c8d533cc95d93d160f6be42125ffb0dfe7268,AMZN,2018-08-30T16:19:15+00:00,2018-08-30T16:18:58.001000+00:00,1.0,near_duplicate_candidate,locked_check
1971b3068b8a4c54,1916bd378db485a9681b262add1307f3f07224b258e1c84bebf1603b11d895e6,AMZN,2018-06-14T20:16:56.020000+00:00,2018-06-14T18:24:46.032000+00:00,0.8,near_duplicate_candidate,locked_check
20d9163419dfe2c2,98e4c04718e7103fd42aaedd5fb89798389af40f9e50f20e7afd15320073580e,AMZN,2018-08-30T19:11:34+00:00,2018-08-30T18:33:01.002000+00:00,1.0,near_duplicate_candidate,pilot
