pair_id,target,stratum,split,mechanically_valid,semantic_relation_claimed
007ae1712fecaf72,AAPL,near_duplicate_candidate,locked_check,True,False
00a3d147091a560f,AAPL,near_duplicate_candidate,locked_check,True,False
024081ce1fea96c2,AAPL,near_duplicate_candidate,pilot,True,False
02aecdd0350c0a2f,AAPL,near_duplicate_candidate,pilot,True,False
03c22a8037b9c242,AAPL,near_duplicate_candidate,locked_check,True,False
06a4a060a7de6872,AAPL,near_duplicate_candidate,locked_check,True,False
07fb7119b17f9847,AAPL,near_duplicate_candidate,pilot,True,False
09358092cbdf578b,AAPL,near_duplicate_candidate,pilot,True,False
14c37e34f9285856,AMZN,near_duplicate_candidate,locked_check,True,False
1971b3068b8a4c54,AMZN,near_duplicate_candidate,locked_check,True,False
20d9163419dfe2c2,AMZN,near_duplicate_candidate,pilot,True,False
251b41abc1122b14,AMZN,near_duplicate_candidate,locked_check,True,False
258ad419f43091b1,AMZN,near_duplicate_candidate,pilot,True,False
26a22a1db7d40634,AMZN,near_duplicate_candidate,locked_check,True,False
2af5bcb537ff68c1,AMZN,near_duplicate_candidate,pilot,True,False
2f0774853299bceb,AMZN,near_duplicate_candidate,pilot,True,False
00385b961c1ffe80,AAPL,moderate_overlap_numeric_difference,locked_check,True,False
01034a848eec8aac,AAPL,moderate_overlap_numeric_difference,locked_check,True,False
0146b1fa17bbcc55,AAPL,moderate_overlap_numeric_difference,locked_check,True,False
017873212b8d5ad8,AAPL,moderate_overlap_numeric_difference,pilot,True,False
01b60e58c0f63697,AAPL,moderate_overlap_numeric_difference,locked_check,True,False
01d78eca17260c4a,AAPL,moderate_overlap_numeric_difference,pilot,True,False
020a0baf33874866,AAPL,moderate_overlap_numeric_difference,pilot,True,False
026525f07a94b3be,AAPL,moderate_overlap_numeric_difference,locked_check,True,False
00d332732db0960d,AMZN,moderate_overlap_numeric_difference,pilot,True,False
05974dbcb1006b2e,AMZN,moderate_overlap_numeric_difference,locked_check,True,False
07a80ae18174bbfd,AMZN,moderate_overlap_numeric_difference,locked_check,True,False
094c575b1fe4f6e4,AMZN,moderate_overlap_numeric_difference,locked_check,True,False
1051d5bf36b64210,AMZN,moderate_overlap_numeric_difference,pilot,True,False
1b42fd5d14c5f450,AMZN,moderate_overlap_numeric_difference,pilot,True,False
249ccaaeda4b870d,AMZN,moderate_overlap_numeric_difference,locked_check,True,False
25a558ad449a635f,AMZN,moderate_overlap_numeric_difference,locked_check,True,False
009a1008d3487fa6,AAPL,moderate_overlap_same_numeric_tokens,pilot,True,False
01b0a404949630ac,AAPL,moderate_overlap_same_numeric_tokens,locked_check,True,False
020025989641c02b,AAPL,moderate_overlap_same_numeric_tokens,locked_check,True,False
0236cc8f880f4c20,AAPL,moderate_overlap_same_numeric_tokens,locked_check,True,False
04c329161b011262,AAPL,moderate_overlap_same_numeric_tokens,locked_check,True,False
0604a6d8ea8563fc,AAPL,moderate_overlap_same_numeric_tokens,locked_check,True,False
079d6b18e4288abf,AAPL,moderate_overlap_same_numeric_tokens,locked_check,True,False
07d7c69503f0a315,AAPL,moderate_overlap_same_numeric_tokens,pilot,True,False
29440824a762a9c3,AMZN,moderate_overlap_same_numeric_tokens,locked_check,True,False
3bb6460578b3ffc0,AMZN,moderate_overlap_same_numeric_tokens,pilot,True,False
666d0a69a1ccd9c5,AMZN,moderate_overlap_same_numeric_tokens,pilot,True,False
b761b2f50b0c2ff4,AMZN,moderate_overlap_same_numeric_tokens,pilot,True,False
e4104718ae22063d,AMZN,moderate_overlap_same_numeric_tokens,pilot,True,False
f15017aa61c750aa,AMZN,moderate_overlap_same_numeric_tokens,pilot,True,False
f7de7705e8a6646b,AMZN,moderate_overlap_same_numeric_tokens,pilot,True,False
01e43c41f1f932f7,AAPL,weak_overlap_candidate,locked_check,True,False
03771e9dd5d5d47e,AAPL,weak_overlap_candidate,locked_check,True,False
0751550f5d2176e4,AAPL,weak_overlap_candidate,pilot,True,False
08341b0b469ca15c,AAPL,weak_overlap_candidate,pilot,True,False
0ae2da27257a408b,AAPL,weak_overlap_candidate,pilot,True,False
0b6f09bdc10c5e36,AAPL,weak_overlap_candidate,locked_check,True,False
0cb2fe8cb2ee775f,AAPL,weak_overlap_candidate,locked_check,True,False
0cc4c7df5261368a,AAPL,weak_overlap_candidate,pilot,True,False
01a30da933ca6d7d,AMZN,weak_overlap_candidate,pilot,True,False
026256de0d4d70a2,AMZN,weak_overlap_candidate,locked_check,True,False
039ed86df2b671a6,AMZN,weak_overlap_candidate,pilot,True,False
03f65c5d63144c44,AMZN,weak_overlap_candidate,pilot,True,False
0447c9e7726cd05a,AMZN,weak_overlap_candidate,pilot,True,False
066352cb8589c1fe,AMZN,weak_overlap_candidate,locked_check,True,False
0729fda8258e9875,AMZN,weak_overlap_candidate,locked_check,True,False
10216351d7321d24,AMZN,weak_overlap_candidate,pilot,True,False
