file,year,source,records,title_available_fraction,body_available_fraction,summary_available_fraction,publisher_available_fraction,author_available_fraction,url_available_fraction,body_length_p25,body_length_median,body_length_p75
all,2003,Все,20,1.0,1.0,0.0,1.0,1.0,1.0,823.75,1127.0,1317.0
all,2008,www.reuters.com,20,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
all,2009,Aurie Maine,3,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Benzinga Staff,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Benzinga Staff 5,2,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Benzinga Staff15,4,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,BenzingaStaff1,11,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,BenzingaStaff3,9,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,BullBearTrades,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,CPL,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,CarpeDiem,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Charles Lewis Sizemore CFA,2,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Craig Jones,11,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,EmergingMarkets,3,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Eric Mancini,5,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Marco Anthony,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Mark Moneymaster,3,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Market Rewind,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Monica Gerson,4,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Options_Guru,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Ryan Mallory,2,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Sleibhin,3,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Swing Trader,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Ted Friedman,2,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Terry Allen,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,William Spencer,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,Zacks,4,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,inthemoneystocks,2,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,prudentinvestor,4,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,superman,4,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,tradermark,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,webmaster,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2009,www.bloomberg.com,3,1.0,1.0,0.0,0.0,1.0,1.0,5219.0,5922.0,5933.5
all,2009,www.reuters.com,20,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
all,2009,Все,20,1.0,1.0,0.0,1.0,1.0,1.0,1077.0,1501.5,1653.25
all,2010,Above Average Odds,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Alex Furno,3,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Angry Bear,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Benzinga Staff,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Benzinga Staff 5,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,BenzingaStaff3,7,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,BenzingaStaffJ,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,BenzingaStaffL,7,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,BlindReason,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Bud Fox,13,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,CarpeDiem,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Cliff Wachtel,6,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Craig Jones,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Daniel Hayden IV,11,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,David Bettencourt,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,David Lipton,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,ETF Professor,3,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,FollowMyAlpha,3,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Franklin Price,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Fred Fuld,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Gordon Wilcox,3,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Ian Wyatt,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Joe Young,10,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,John Bougearel,2,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,John Nyaradi,5,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Jonathan Chen,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Kevin McElroy,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Lisa Levin,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Marc Courtenay,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Marco Anthony,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Mark Fidelman,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Mark Moneymaster,7,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Mark Riddix,3,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Michael J. Zerinskas,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Michael Snyder,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Monica Gerson,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Oakshire Financial,8,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Options House,13,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Roger Nachman,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Roger Nusbaum,2,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Ronald Weisenstein,2,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Ryan Mallory,14,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Scott Rubin,15,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Sleibhin,3,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,SmallCapVoice,5,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Spock Picks,5,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Stephen Castellano,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Swing Trader,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,TPC,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Taipan Daily,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,TradeRadar,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,UNKNOWN,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
all,2010,William K. Black,4,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,Zacks,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,brettstockblog,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,chenry4287,2,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,inthemoneystocks,13,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,moneyshow,2,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,optionsXpress,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,strichie,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,tradermark,3,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,webmaster,20,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0
all,2010,www.bloomberg.com,4,1.0,1.0,0.0,0.0,1.0,1.0,2336.0,3439.0,4333.75
