key,symbol,start_utc,end_utc,cutoff_utc,split,month,label,has_news,R1,P0_observed,P0_raw,P0_cal,P0_strict,P1_observed,P1_raw,P1_cal,P1_strict,P2_observed,P2_raw,P2_cal,P2_strict,P3_observed,P3_raw,P3_cal,P3_strict,paragraph_selected,phase,P0_logp_up,P0_logp_down,P0_choice_mass,P0_prompt_tokens,P0_seconds,P1_logp_up,P1_logp_down,P1_choice_mass,P1_prompt_tokens,P1_seconds,P2_logp_up,P2_logp_down,P2_choice_mass,P2_prompt_tokens,P2_seconds,P3_logp_up,P3_logp_down,P3_choice_mass,P3_prompt_tokens,P3_seconds
AAPL|2018-01-03 14:30:00+00:00,AAPL,2018-01-03 14:30:00+00:00,2018-01-03 18:30:00+00:00,2018-01-03 14:25:00+00:00,train,2018-01,1,1,,0.8354835371034369,0.8354835371034369,,,0.9525741231199172,0.9525741231199172,,,0.962673114128364,0.962673114128364,,,0.962673114128364,0.962673114128364,,,,calibration_train,-0.18137133121490479,-1.8063713312149048,0.9983746265232957,2843,4.1339632868766785,-0.04883178323507309,-3.0488317012786865,0.999755602095557,2830,5.178332984447479,-0.03819437697529793,-3.288194417953491,0.999847004887843,5792,8.577045738697052,-0.03819437697529793,-3.288194417953491,0.999847004887843,5792,20.42705649137497
AMZN|2018-01-03 14:30:00+00:00,AMZN,2018-01-03 14:30:00+00:00,2018-01-03 18:30:00+00:00,2018-01-03 14:25:00+00:00,train,2018-01,1,1,,0.182425521583901,0.182425521583901,,,0.2450850131323717,0.2450850131323717,,,0.2942149783515162,0.2942149783515162,,,0.3486451421018059,0.3486451421018059,,,,calibration_train,-1.703124761581421,-0.2031247466802597,0.99828999231618,1567,3.0962215065956116,-1.4082491397857666,-0.2832491397857666,0.9979031978299779,1535,4.622291445732117,-1.2253851890563965,-0.35038521885871887,0.9980612527177591,2121,3.067273736000061,-1.0560070276260376,-0.43100705742836,0.9976962888634784,1518,2.3482375144958496
AAPL|2018-01-03 15:30:00+00:00,AAPL,2018-01-03 15:30:00+00:00,2018-01-03 19:30:00+00:00,2018-01-03 15:25:00+00:00,train,2018-01,0,1,,0.8933094053442511,0.8933094053442511,,,0.9820137933607428,0.9820137933607428,,,0.9770226324316302,0.9770226324316302,,,0.9706877713155612,0.9770226324316302,,,,calibration_train,-0.11385370045900345,-2.238853693008423,0.9989691108391726,2973,4.3142129778862,-0.018353750929236412,-4.0183539390563965,0.9997961943760675,2926,5.681007504463196,-0.023691311478614807,-3.773691415786743,0.9995542498732041,4475,6.584213018417358,-0.030356811359524727,-3.5303568840026855,0.999393788604184,4475,8.551971793174744
AMZN|2018-01-03 15:30:00+00:00,AMZN,2018-01-03 15:30:00+00:00,2018-01-03 19:30:00+00:00,2018-01-03 15:25:00+00:00,train,2018-01,1,1,,0.0953494674697965,0.0953494674697965,,,0.1824255238063563,0.1824255238063563,,,0.3486451285660855,0.3486451285660855,,,0.3486451217982255,0.3486451217982255,,,,calibration_train,-2.3510425090789795,-0.10104253888130188,0.9991643722086047,1568,3.0962215065956116,-1.7026950120925903,-0.20269501209259033,0.9987190869604908,1536,4.622291445732117,-1.055454134941101,-0.4304541051387787,0.9982480991202958,2122,3.067273736000061,-1.055480718612671,-0.4304806590080261,0.9982215817507725,1519,2.3482375144958496
AAPL|2018-01-03 16:30:00+00:00,AAPL,2018-01-03 16:30:00+00:00,2018-01-03 20:30:00+00:00,2018-01-03 16:25:00+00:00,train,2018-01,0,1,,0.9399133451974032,0.9399133451974032,,,0.9579122690805788,0.9579122690805788,,,0.9525741216052516,0.9525741216052516,,,0.9399133536130196,0.9525741216052516,,,,calibration_train,-0.06250842660665512,-2.8125083446502686,0.9994593135446598,2969,4.329501032829285,-0.043479517102241516,-3.1684794425964355,0.9995196806529151,2954,4.90462327003479,-0.049451228231191635,-3.0494511127471924,0.9991365018487642,3316,4.813584208488464,-0.06289761513471603,-2.8128976821899414,0.9990704021833673,3316,5.329780995845795
AMZN|2018-01-03 16:30:00+00:00,AMZN,2018-01-03 16:30:00+00:00,2018-01-03 20:30:00+00:00,2018-01-03 16:25:00+00:00,train,2018-01,1,1,,0.4073334000459302,0.4073334000459302,,,0.4687906266262437,0.4687906266262437,,,0.5926665999540697,0.5926665999540697,,,0.5926665999540697,0.5926665999540697,,,,calibration_train,-0.8995583653450012,-0.5245583653450012,0.9985659280601479,1861,3.832843244075775,-0.7605711221694946,-0.6355711221694946,0.9970323254254966,1850,3.8742892146110535,-0.525408148765564,-0.900408148765564,0.9977177237361724,2597,3.925821006298065,-0.5253680944442749,-0.9003680944442749,0.9977576874427889,2048,3.503297448158264
AAPL|2018-01-04 14:30:00+00:00,AAPL,2018-01-04 14:30:00+00:00,2018-01-04 18:30:00+00:00,2018-01-04 14:25:00+00:00,train,2018-01,1,1,,0.2450850186463482,0.2450850186463482,,,0.3775406617944891,0.3775406617944891,,,0.2942149721629887,0.2942149721629887,,,0.2942149721629887,0.2942149721629887,,,,calibration_train,-1.4080002307891846,-0.28300026059150696,0.9981515933724565,2903,4.227427244186401,-0.9763686656951904,-0.47636863589286804,0.997710960890508,2884,5.429182171821594,-1.22501540184021,-0.35001540184020996,0.9984304122581531,4752,6.986436724662781,-1.22501540184021,-0.35001540184020996,0.9984304122581531,4752,8.090391218662262
AMZN|2018-01-04 14:30:00+00:00,AMZN,2018-01-04 14:30:00+00:00,2018-01-04 18:30:00+00:00,2018-01-04 14:25:00+00:00,train,2018-01,0,0,,0.731058584489497,0.731058584489497,,,0.731058584489497,0.731058584489497,,,0.731058584489497,0.731058584489497,,,0.731058584489497,0.731058584489497,,,,calibration_train,-0.314180463552475,-1.3141804933547974,0.9990816379034959,971,1.4190139770507812,-0.314180463552475,-1.3141804933547974,0.9990816379034959,971,1.4107324481010437,-0.314180463552475,-1.3141804933547974,0.9990816379034959,971,1.409110963344574,-0.314180463552475,-1.3141804933547974,0.9990816379034959,971,1.8939397931098938
AAPL|2018-01-04 15:30:00+00:00,AAPL,2018-01-04 15:30:00+00:00,2018-01-04 19:30:00+00:00,2018-01-04 15:25:00+00:00,train,2018-01,0,1,,0.5926665999540697,0.5926665999540697,,,0.2689414213699951,0.2689414213699951,,,0.5621765008857981,0.5621765008857981,,,0.5621765008857981,0.5621765008857981,,,,calibration_train,-0.5250924229621887,-0.9000924229621887,0.9980327786989142,2909,4.240891754627228,-1.314810037612915,-0.31481003761291504,0.9984528479808891,2892,5.458433449268341,-0.5786672234535217,-0.8286672234535217,0.9972759135009075,5725,8.43929374217987,-0.5786672234535217,-0.8286672234535217,0.9972759135009075,5725,18.99628871679306
AMZN|2018-01-04 15:30:00+00:00,AMZN,2018-01-04 15:30:00+00:00,2018-01-04 19:30:00+00:00,2018-01-04 15:25:00+00:00,train,2018-01,0,0,,0.7549149758396752,0.7549149758396752,,,0.7549149758396752,0.7549149758396752,,,0.7549149758396752,0.7549149758396752,,,0.7549149758396752,0.7549149758396752,,,,calibration_train,-0.28200584650039673,-1.407005786895752,0.9991446703592378,972,1.427239716053009,-0.28200584650039673,-1.407005786895752,0.9991446703592378,972,1.4119532704353333,-0.28200584650039673,-1.407005786895752,0.9991446703592378,972,1.4190015196800232,-0.28200584650039673,-1.407005786895752,0.9991446703592378,972,1.8742995262145996
